Date,Tank,Treatment,Count1,Count2,Volume.Collected,Volume.Counted,
20160319,11,Mid,49,49,1.5,0.0009,54444.44444
20160319,12,High,49,39,1.5,0.0009,48888.88889
20160319,13,Ambient,47,44,1.5,0.0009,50555.55556
20160319,14,Mid,40,32,1.5,0.0009,40000
20160319,15,Ambient,58,49,1.5,0.0009,59444.44444
20160319,16,High,66,50,1.5,0.0009,64444.44444
20160321,11,Mid,58,54,1.5,0.0009,62222.22222
20160321,12,High,56,70,1.5,0.0009,70000
20160321,13,Ambient,54,36,1.5,0.0009,50000
20160321,14,Mid,47,66,1.5,0.0009,62777.77778
20160321,15,Ambient,47,53,1.5,0.0009,55555.55556
20160321,16,High,74,54,1.5,0.0009,71111.11111
20160326,11,Mid,67,75,1.5,0.0009,78888.88889
20160326,12,High,97,93,1.5,0.0009,105555.5556
20160326,13,Ambient,59,65,1.5,0.0009,68888.88889
20160326,14,Mid,64,67,1.5,0.0009,72777.77778
20160326,15,Ambient,62,64,1.5,0.0009,70000
20160326,16,High,75,81,1.5,0.0009,86666.66667
20160408,1,Common_Garden,18,24,1.5,0.0001,210000
20160408,1,Common_Garden,58,101,1.5,0.0001,795000
20160408,1,Common_Garden,98,98,1.5,0.0001,980000
20160408,1,Common_Garden,113,124,1.5,0.0001,1185000
20160408,1,Common_Garden,140,147,1.5,0.0001,1435000
20160408,1,Common_Garden,146,128,1.5,0.0001,1370000
20160414,1,Common_Garden,19,22,1.5,0.0001,205000
20160414,1,Common_Garden,10,10,1.5,0.0001,100000
20160414,1,Common_Garden,11,13,1.5,0.0001,120000
