Date,EPI.Tube.Num,Tank,Treatment,TimePoint,Contents,Storage,Homogenization,DNA.Extraction,DNA.QC,DNA.Conc.ng.µl,DNA.vol.µl,DNA.amount.µg,vol.for.100ng,lambda.0.5%,Water.µl,NSBuffer2.µl,MSPI.µl
26-Mar-16,EPI_103,Tank11,Low,Day10,1 juvenile,RNALater,20160912,20161028,20161028,18.3,140,2.6,5.5,1,19.5,3,1
26-Mar-16,EPI_104,Tank11,Low,Day10,1 juvenile,RNALater,20160912,20161007,20161010,9.28,140,1.3,10.8,1,14.2,3,1
26-Mar-16,EPI_111,Tank12,Super.Low,Day10,1 juvenile,RNALater,20160912,20161007,20161010,55.6,140,7.8,1.8,1,23.2,3,1
26-Mar-16,EPI_113,Tank12,Super.Low,Day10,1 juvenile,RNALater,20160912,20161007,20161010,18.8,140,2.6,5.3,1,19.7,3,1
26-Mar-16,EPI_119,Tank13,Ambient,Day10,1 juvenile,RNALater,20160909,20161007,20161010,17.6,140,2.5,5.7,1,19.3,3,1
26-Mar-16,EPI_120,Tank13,Ambient,Day10,1 juvenile,RNALater,20160909,20161007,20161010,16.5,140,2.3,6.1,1,18.9,3,1
26-Mar-16,EPI_127,Tank14,Low,Day10,1 juvenile,RNALater,20160909,20161004,20161010,35.2,140,4.9,2.8,1,22.2,3,1
26-Mar-16,EPI_128,Tank14,Low,Day10,1 juvenile,RNALater,20160909,20161004,20161010,29.8,140,4.2,3.4,1,21.6,3,1
26-Mar-16,EPI_135,Tank15,Ambient,Day10,1 juvenile,RNALater,20160909,20161004,20161006,20.2,140,2.8,5,1,20,3,1
26-Mar-16,EPI_136,Tank15,Ambient,Day10,1 juvenile,RNALater,20160909,20161004,20161006,18.2,140,2.5,5.5,1,19.5,3,1
26-Mar-16,EPI_143,Tank16,Super.Low,Day10,1 juvenile,RNALater,20160909,20161028,20161028,41.2,140,5.8,2.4,1,22.6,3,1
26-Mar-16,EPI_145,Tank16,Super.Low,Day10,1 juvenile,RNALater,20160909,20161007,20161010,9.64,140,1.3,10.4,1,14.6,3,1
,,,,,,,,,,,,,,,,3,
26-Mar-16,EPI_111,Tank12,Super.Low,Day10,1 juvenile,RNALater,20160912,20161007,20161010,55.6,140,7.8,1.8,1,23.2,3,0
26-Mar-16,EPI_128,Tank14,Low,Day10,1 juvenile,RNALater,20160909,20161004,20161010,29.8,140,4.2,3.4,1,21.6,3,0
26-Mar-16,EPI_135,Tank15,Ambient,Day10,1 juvenile,RNALater,20160909,20161004,20161006,20.2,140,2.8,5,1,20,3,0
,,,,,,,,,,,,,,,,,
,,,,,,,,,,lambda DNA,581,ng/µl,,,,,
,,,,,,,,,,Dil: 1 plus 1159,0.50,ng/µl,,,,,
,,,,,,,,,,,0.50,w/w % of 100ng Geoduck DNA,,,,,
