Date,EPI.Tube.Num,Tank,Treatment,TimePoint,Homogenization,DNA.Extraction,DNA.QC,DNA.Conc.ng.µl,DNA.vol.µl,DNA.amount.µg,vol for 100ng,lambda.0.5%,Water.µl,NSBuffer2.µl,MSPI.µl
16-Mar-16,EPI_41,Time0,Field,Day0,20160912,20161025,20161026,13.6,140,1.904,7.4,1,17.6,3,1
16-Mar-16,EPI_42,Time0,Field,Day0,20160912,20161028,20161028,79,140,11.06,1.3,1,23.7,3,1
16-Mar-16,EPI_43,Time0,Field,Day0,20160912,20161025,20161026,17.2,140,2.408,5.8,1,19.2,3,1
16-Mar-16,EPI_44,Time0,Field,Day0,20160912,20161025,20161026,14.8,140,2.072,6.8,1,18.2,3,1
17-Mar-16,EPI_45,Tank11,Low,Day1,20160912,20161028,20161028,43.1,140,6.034,2.3,1,22.7,3,1
17-Mar-16,EPI_46,Tank11,Low,Day1,20160912,20161028,20161028,21.2,140,2.968,4.7,1,20.3,3,1
17-Mar-16,EPI_47,Tank12,Super.Low,Day1,20160912,20161028,20161028,57.6,140,8.064,1.7,1,23.3,3,1
17-Mar-16,EPI_48,Tank12,Super.Low,Day1,20160912,20161028,20161028,12.6,140,1.764,7.9,1,17.1,3,1
17-Mar-16,EPI_49,Tank13,Ambient,Day1,20160912,20161025,20161026,63.4,140,8.876,1.6,1,23.4,3,1
17-Mar-16,EPI_50,Tank13,Ambient,Day1,20160912,20161028,20161028,8.21,140,1.1494,12.2,1,12.8,3,1
17-Mar-16,EPI_51,Tank14,Low,Day1,20160912,20161025,20161026,14.6,140,2.044,6.8,1,18.2,3,1
17-Mar-16,EPI_52,Tank14,Low,Day1,20160912,20161025,20161026,9.82,140,1.3748,10.2,1,14.8,3,1
17-Mar-16,EPI_53,Tank15,Ambient,Day1,20160912,20161025,20161026,27.4,140,3.836,3.6,1,21.4,3,1
17-Mar-16,EPI_54,Tank15,Ambient,Day1,20160912,20161025,20161026,15,140,2.1,6.7,1,18.3,3,1
17-Mar-16,EPI_55,Tank16,Super.Low,Day1,20160912,20161025,20161026,12.4,140,1.736,8.1,1,16.9,3,1
17-Mar-16,EPI_56,Tank16,Super.Low,Day1,20160912,20161025,20161026,21.4,140,2.996,4.7,1,20.3,3,1
29-Jul-16,EPI_151,Ambient,Ambient,Day135,20160909,20161004,20161006,11.8,140,1.652,8.5,1,16.5,3,1
29-Jul-16,EPI_152,Ambient,Ambient,Day135,20160909,20161004,20161006,16.8,140,2.352,6,1,19,3,1
29-Jul-16,EPI_153,Ambient,Ambient,Day135,20160909,20161025,20161026,22.4,140,3.136,4.5,1,20.5,3,1
29-Jul-16,EPI_154,Ambient,Ambient,Day135,20160909,20161025,20161026,19.5,140,2.73,5.1,1,19.9,3,1
29-Jul-16,EPI_159,Low,Low,Day135,20160909,20161004,20161006,21.4,140,2.996,4.7,1,20.3,3,1
29-Jul-16,EPI_160,Low,Low,Day135,20160909,20161004,20161006,10.8,140,1.512,9.3,1,15.7,3,1
29-Jul-16,EPI_161,Low,Low,Day135,20160909,20161028,20161028,24.9,140,3.486,4,1,21,3,1
29-Jul-16,EPI_162,Low,Low,Day135,20160909,20161007,20161010,12.5,140,1.75,8,1,17,3,1
29-Jul-16,EPI_167,Super.Low,Super.Low,Day135,20160908,20160930,Pass,13.2,190,2.508,7.6,1,17.4,3,1
29-Jul-16,EPI_168,Super.Low,Super.Low,Day135,20160908,20160930,Pass,6.18,190,1.1742,16.2,1,8.8,3,1
29-Jul-16,EPI_169,Super.Low,Super.Low,Day135,20160908,20161007,20161010,14.8,140,2.072,6.8,1,18.2,3,1
29-Jul-16,EPI_170,Super.Low,Super.Low,Day135,20160908,20161007,20161010,11.2,140,1.568,8.9,1,16.1,3,1
8-Aug-16,EPI_175,Bin1,Low-Ambient,Day145,20160908,20160930,Pass,19.6,190,3.724,5.1,1,19.9,3,1
8-Aug-16,EPI_176,Bin1,Low-Ambient,Day145,20160908,20160930,Pass,7.84,190,1.4896,12.8,1,12.2,3,1
8-Aug-16,EPI_181,Bin2,Ambient-Ambient,Day145,20160908,20161004,20161006,40.8,140,5.712,2.5,1,22.5,3,1
8-Aug-16,EPI_182,Bin2,Ambient-Ambient,Day145,20160908,20161004,20161006,20.8,140,2.912,4.8,1,20.2,3,1
8-Aug-16,EPI_184,Bin3,Ambient-Ambient,Day145,20160908,20161007,20161010,7.46,140,1.0444,13.4,1,11.6,3,1
8-Aug-16,EPI_185,Bin3,Ambient-Ambient,Day145,20160907,20161007,20161010,18.6,140,2.604,5.4,1,19.6,3,1
8-Aug-16,EPI_187,Bin4,Super.Low-Ambient,Day145,20160907,20160930,Pass,17.1,190,3.249,5.8,1,19.2,3,1
8-Aug-16,EPI_188,Bin4,Super.Low-Ambient,Day145,20160907,20160930,Pass,14.5,190,2.755,6.9,1,18.1,3,1
8-Aug-16,EPI_193,Bin5,Low-Ambient,Day145,20160907,20161004,20161006,9.26,140,1.2964,10.8,1,14.2,3,1
8-Aug-16,EPI_194,Bin5,Low-Ambient,Day145,20160907,20161004,20161006,11.7,140,1.638,8.5,1,16.5,3,1
8-Aug-16,EPI_199,Bin6,Super.Low-Ambient,Day145,20160907,20161004,20161006,21.8,140,3.052,4.6,1,20.4,3,1
8-Aug-16,EPI_200,Bin6,Super.Low-Ambient,Day145,20160907,20161004,20161006,21.2,140,2.968,4.7,1,20.3,3,1
8-Aug-16,EPI_205,Bin7,Ambient-Low,Day145,20160907,20160930,Pass,11.9,190,2.261,8.4,1,16.6,3,1
8-Aug-16,EPI_206,Bin7,Ambient-Low,Day145,20160906,20160930,Pass,18.1,190,3.439,5.5,1,19.5,3,1
