Day,Lane,Sample.ID,Library Concentration (ng/uL),Library Concentration (ug/uL),Library Volume (uL),Molecular Weight pmol/660pg,10^6pg/ug,DNA Size 1/N (N = bp),pmol DNA,Library Concentration (uM),Library Concentration (nM),Dilution Factor for 10nM,Vol Library added µl,Vol Elution Buffer µl
Day10,Lane1,EPI_103,4.34,0.0043,15,0.002,1000000,0.0033,0.33,0.022,21.92,0.46,1.8,2.2
Day10,Lane1,EPI_104,4.8,0.0048,15,0.002,1000000,0.0033,0.36,0.024,24.24,0.41,1.7,2.4
Day10,Lane1,EPI_111,5.46,0.0055,15,0.002,1000000,0.0033,0.41,0.028,27.58,0.36,1.5,2.5
Day10,Lane1,EPI_113,4.88,0.0049,15,0.002,1000000,0.0033,0.37,0.025,24.65,0.41,1.6,2.4
Day10,Lane1,EPI_119,5.1,0.0051,15,0.002,1000000,0.0033,0.39,0.026,25.76,0.39,1.6,2.4
Day10,Lane1,EPI_120,4.58,0.0046,15,0.002,1000000,0.0033,0.35,0.023,23.13,0.43,1.7,2.3
Day10,Lane1,EPI_127,4.58,0.0046,15,0.002,1000000,0.0033,0.35,0.023,23.13,0.43,1.7,2.3
Day10,Lane1,EPI_128,4.8,0.0048,15,0.002,1000000,0.0033,0.36,0.024,24.24,0.41,1.7,2.4
Day10,Lane1,EPI_135,4.08,0.0041,15,0.002,1000000,0.0033,0.31,0.021,20.61,0.49,1.9,2.1
Day10,Lane1,EPI_136,3.7,0.0037,15,0.002,1000000,0.0033,0.28,0.019,18.69,0.54,2.1,1.9
Day10,Lane1,EPI_143,2.88,0.0029,15,0.002,1000000,0.0033,0.22,0.015,14.55,0.69,2.8,1.3
Day10,Lane1,EPI_145,2.92,0.0029,15,0.002,1000000,0.0033,0.22,0.015,14.75,0.68,2.7,1.3
,,,,,,,,,,,,,,
Day135,Lane2,EPI_151,,,,,,,,,,,,
Day135,Lane2,EPI_152,,,,,,,,,,,,
Day135,Lane2,EPI_153,,,,,,,,,,,,
Day135,Lane2,EPI_154,,,,,,,,,,,,
Day135,Lane2,EPI_159,,,,,,,,,,,,
Day135,Lane2,EPI_160,,,,,,,,,,,,
Day135,Lane2,EPI_161,,,,,,,,,,,,
Day135,Lane2,EPI_162,,,,,,,,,,,,
Day135,Lane2,EPI_167,,,,,,,,,,,,
Day135,Lane2,EPI_168,,,,,,,,,,,,
Day135,Lane2,EPI_169,,,,,,,,,,,,
Day135,Lane2,EPI_170,,,,,,,,,,,,
,,,,,,,,,,,,,,
Day 145,Lane3,EPI_175,,,,,,,,,,,,
Day 145,Lane3,EPI_176,,,,,,,,,,,,
Day 145,Lane3,EPI_181,,,,,,,,,,,,
Day 145,Lane3,EPI_182,,,,,,,,,,,,
Day 145,Lane3,EPI_184,,,,,,,,,,,,
Day 145,Lane3,EPI_185,,,,,,,,,,,,
Day 145,Lane3,EPI_187,,,,,,,,,,,,
Day 145,Lane3,EPI_188,,,,,,,,,,,,
Day 145,Lane3,EPI_193,,,,,,,,,,,,
Day 145,Lane3,EPI_194,,,,,,,,,,,,
Day 145,Lane3,EPI_199,,,,,,,,,,,,
Day 145,Lane3,EPI_200,,,,,,,,,,,,
,,,,,,,,,,,,,,
Day 145,Lane4,EPI_205,,,,,,,,,,,,
Day 145,Lane4,EPI_206,,,,,,,,,,,,
Day 145,Lane4,EPI_208,,,,,,,,,,,,
Day 145,Lane4,EPI_209,,,,,,,,,,,,
Day 145,Lane4,EPI_214,,,,,,,,,,,,
Day 145,Lane4,EPI_215,,,,,,,,,,,,
Day 145,Lane4,EPI_220,,,,,,,,,,,,
Day 145,Lane4,EPI_221,,,,,,,,,,,,
Day 145,Lane4,EPI_226,,,,,,,,,,,,
Day 145,Lane4,EPI_227,,,,,,,,,,,,
Day 145,Lane4,EPI_229,,,,,,,,,,,,
Day 145,Lane4,EPI_230,,,,,,,,,,,,
,,,,,,,,,,,,,,
Day0,Lane5,EPI_41,,,,,,,,,,,,
Day0,Lane5,EPI_42,,,,,,,,,,,,
Day0,Lane5,EPI_43,,,,,,,,,,,,
Day10_Ambient,Lane5,EPI_135,,,,,,,,,,,,
,,,,,,,,,,,,,,
Day158,,EPI_235,,,,,,,,,,,,
Day158,,EPI_236,,,,,,,,,,,,
Day158,,EPI_242,,,,,,,,,,,,
Day158,,EPI_243,,,,,,,,,,,,
Day158,,EPI_246,,,,,,,,,,,,
Day158,,EPI_247,,,,,,,,,,,,
Day158,,EPI_250,,,,,,,,,,,,
Day158,,EPI_251,,,,,,,,,,,,
Day158,,EPI_257,,,,,,,,,,,,
Day158,,EPI_258,,,,,,,,,,,,
Day158,,EPI_264,,,,,,,,,,,,
Day158,,EPI_265,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Day158,,EPI_271,,,,,,,,,,,,
Day158,,EPI_272,,,,,,,,,,,,
Day158,,EPI_275,,,,,,,,,,,,
Day158,,EPI_276,,,,,,,,,,,,
Day158,,EPI_282,,,,,,,,,,,,
Day158,,EPI_283,,,,,,,,,,,,
Day158,,EPI_289,,,,,,,,,,,,
Day158,,EPI_290,,,,,,,,,,,,
Day158,,EPI_298,,,,,,,,,,,,
Day158,,EPI_299,,,,,,,,,,,,
Day158,,EPI_302,,,,,,,,,,,,
Day158,,EPI_303,,,,,,,,,,,,
,,,,,,,,,,,,,,
Day0,Lane5,EPI_41,,,,,,,,,,,,
Day0,Lane5,EPI_42,,,,,,,,,,,,
Day0,Lane5,EPI_43,,,,,,,,,,,,
Day10_Ambient,,EPI_135,,,,,,,,,,,,
,,,,,,,,,,,,,,
Day0,,EPI_44,,,,,,,,,,,,
,,EPI_45,,,,,,,,,,,,
Day1,,EPI_46,,,,,,,,,,,,
Day1,,EPI_47,,,,,,,,,,,,
Day1,,EPI_48,,,,,,,,,,,,
Day1,,EPI_49,,,,,,,,,,,,
Day1,,EPI_50,,,,,,,,,,,,
Day1,,EPI_51,,,,,,,,,,,,
Day1,,EPI_52,,,,,,,,,,,,
