Date,EPI.Tube.Num,Tank,Treatment,Trial,TimePoint,Contents,Storage,Notes,RNA.QC,RNA.ng/µl,260/280,260/230,Status
29-Jul-16,EPI_155,Ambient,Ambient,Seed.Trial,Day135,1 juvenile,RNALater,miRNA,smear,141.5,1.95,1.73,Do Not Use
29-Jul-16,EPI_156,Ambient,Ambient,Seed.Trial,Day135,1 juvenile,RNALater,miRNA,smear,956.32,1.95,1.87,Do Not Use
29-Jul-16,EPI_157,Ambient,Ambient,Seed.Trial,Day135,1 juvenile,RNALater,miRNA,smear,1144.81,2.01,1.97,Do Not Use
29-Jul-16,EPI_158,Ambient,Ambient,Seed.Trial,Day135,1 juvenile,RNALater,miRNA,smear,1205.63,1.93,2.13,Do Not Use
29-Jul-16,EPI_163,Low,Low,Seed.Trial,Day135,1 juvenile,RNALater,miRNA,smear,513.37,2.01,2.26,Do Not Use
29-Jul-16,EPI_164,Low,Low,Seed.Trial,Day135,1 juvenile,RNALater,miRNA,smear,849.25,1.99,1.89,Do Not Use
29-Jul-16,EPI_165,Low,Low,Seed.Trial,Day135,1 juvenile,RNALater,miRNA,smear,58.61,1.92,2.09,Do Not Use
29-Jul-16,EPI_166,Low,Low,Seed.Trial,Day135,1 juvenile,RNALater,miRNA,smear,1098.15,1.91,2.05,Do Not Use
29-Jul-16,EPI_171,Super.Low,Super.Low,Seed.Trial,Day135,1 juvenile,RNALater,miRNA,,,,,Do Not Use
29-Jul-16,EPI_172,Super.Low,Super.Low,Seed.Trial,Day135,1 juvenile,RNALater,miRNA,,,,,Do Not Use
29-Jul-16,EPI_173,Super.Low,Super.Low,Seed.Trial,Day135,1 juvenile,RNALater,miRNA,,,,,Do Not Use
29-Jul-16,EPI_174,Super.Low,Super.Low,Seed.Trial,Day135,1 juvenile,RNALater,miRNA,,,,,Do Not Use
8-Aug-16,EPI_183,Bin2,Ambient-Ambient,Seed.Trial,Day145,1 juvenile,RNALater,miRNA,,,,,
8-Aug-16,EPI_186,Bin3,Ambient-Ambient,Seed.Trial,Day145,1 juvenile,RNALater,miRNA,,,,,
8-Aug-16,EPI_207,Bin7,Ambient-Low,Seed.Trial,Day145,1 juvenile,RNALater,miRNA,single.band,447.31,1.9,2.29,
8-Aug-16,EPI_228,Bin11,Ambient-Low,Seed.Trial,Day145,1 juvenile,RNALater,miRNA,,,,,
8-Aug-16,EPI_177,Bin1,Low-Ambient,Seed.Trial,Day145,1 juvenile,RNALater,miRNA,,,,,
8-Aug-16,EPI_178,Bin1,Low-Ambient,Seed.Trial,Day145,1 juvenile,RNALater,miRNA,,,,,
8-Aug-16,EPI_179,Bin1,Low-Ambient,Seed.Trial,Day145,1 juvenile,RNALater,miRNA,,,,,
8-Aug-16,EPI_180,Bin1,Low-Ambient,Seed.Trial,Day145,1 juvenile,RNALater,miRNA,,,,,
8-Aug-16,EPI_195,Bin5,Low-Ambient,Seed.Trial,Day145,1 juvenile,RNALater,miRNA,,,,,
8-Aug-16,EPI_196,Bin5,Low-Ambient,Seed.Trial,Day145,1 juvenile,RNALater,miRNA,,,,,
8-Aug-16,EPI_197,Bin5,Low-Ambient,Seed.Trial,Day145,1 juvenile,RNALater,miRNA,,,,,
8-Aug-16,EPI_198,Bin5,Low-Ambient,Seed.Trial,Day145,1 juvenile,RNALater,miRNA,,,,,
8-Aug-16,EPI_210,Bin8,Low-Low,Seed.Trial,Day145,1 juvenile,RNALater,miRNA,,,,,
8-Aug-16,EPI_211,Bin8,Low-Low,Seed.Trial,Day145,1 juvenile,RNALater,miRNA,,,,,
8-Aug-16,EPI_212,Bin8,Low-Low,Seed.Trial,Day145,1 juvenile,RNALater,miRNA,,,,,
8-Aug-16,EPI_213,Bin8,Low-Low,Seed.Trial,Day145,1 juvenile,RNALater,miRNA,,,,,
8-Aug-16,EPI_231,Bin12,Low-Low,Seed.Trial,Day145,1 juvenile,RNALater,miRNA,single.band,184.49,1.9,2.09,
8-Aug-16,EPI_232,Bin12,Low-Low,Seed.Trial,Day145,1 juvenile,RNALater,miRNA,,,,,
8-Aug-16,EPI_233,Bin12,Low-Low,Seed.Trial,Day145,1 juvenile,RNALater,miRNA,,,,,
8-Aug-16,EPI_234,Bin12,Low-Low,Seed.Trial,Day145,1 juvenile,RNALater,miRNA,,,,,
8-Aug-16,EPI_189,Bin4,Super.Low-Ambient,Seed.Trial,Day145,1 juvenile,RNALater,miRNA,,,,,
8-Aug-16,EPI_190,Bin4,Super.Low-Ambient,Seed.Trial,Day145,1 juvenile,RNALater,miRNA,,,,,
8-Aug-16,EPI_191,Bin4,Super.Low-Ambient,Seed.Trial,Day145,1 juvenile,RNALater,miRNA,,,,,
8-Aug-16,EPI_192,Bin4,Super.Low-Ambient,Seed.Trial,Day145,1 juvenile,RNALater,miRNA,,,,,
8-Aug-16,EPI_201,Bin6,Super.Low-Ambient,Seed.Trial,Day145,1 juvenile,RNALater,miRNA,single.band,99.03,1.91,1.79,
8-Aug-16,EPI_202,Bin6,Super.Low-Ambient,Seed.Trial,Day145,1 juvenile,RNALater,miRNA,,,,,
8-Aug-16,EPI_203,Bin6,Super.Low-Ambient,Seed.Trial,Day145,1 juvenile,RNALater,miRNA,single.band,597.01,2.01,1.95,
8-Aug-16,EPI_204,Bin6,Super.Low-Ambient,Seed.Trial,Day145,1 juvenile,RNALater,miRNA,,,,,
8-Aug-16,EPI_216,Bin9,Super.Low-Low,Seed.Trial,Day145,1 juvenile,RNALater,miRNA,,,,,
8-Aug-16,EPI_217,Bin9,Super.Low-Low,Seed.Trial,Day145,1 juvenile,RNALater,miRNA,,,,,
8-Aug-16,EPI_218,Bin9,Super.Low-Low,Seed.Trial,Day145,1 juvenile,RNALater,miRNA,,,,,
8-Aug-16,EPI_219,Bin9,Super.Low-Low,Seed.Trial,Day145,1 juvenile,RNALater,miRNA,,,,,
8-Aug-16,EPI_222,Bin10,Super.Low-Low,Seed.Trial,Day145,1 juvenile,RNALater,miRNA,,,,,
8-Aug-16,EPI_223,Bin10,Super.Low-Low,Seed.Trial,Day145,1 juvenile,RNALater,miRNA,,,,,
8-Aug-16,EPI_224,Bin10,Super.Low-Low,Seed.Trial,Day145,1 juvenile,RNALater,miRNA,,,,,
8-Aug-16,EPI_225,Bin10,Super.Low-Low,Seed.Trial,Day145,1 juvenile,RNALater,miRNA,,,,,
21-Aug-16,EPI_244,Bin2,Ambient-Ambient,Seed.Trial,Day158,1 juvenile,RNALater,miRNA,single.band,1286.4,2.01,2.41,
21-Aug-16,EPI_245,Bin2,Ambient-Ambient,Seed.Trial,Day158,1 juvenile,RNALater,miRNA,single.band,491.33,2.01,2.04,
21-Aug-16,EPI_248,Bin3,Ambient-Ambient,Seed.Trial,Day158,1 juvenile,RNALater,miRNA,smear,782.55,2.03,2.16,
21-Aug-16,EPI_249,Bin3,Ambient-Ambient,Seed.Trial,Day158,1 juvenile,RNALater,miRNA,,,,,
21-Aug-16,EPI_273,Bin7,Ambient-Low,Seed.Trial,Day158,1 juvenile,RNALater,miRNA,single.band,506.29,1.97,2.03,
21-Aug-16,EPI_274,Bin7,Ambient-Low,Seed.Trial,Day158,1 juvenile,RNALater,miRNA,single.band,456.6,1.98,2.11,
21-Aug-16,EPI_300,Bin11,Ambient-Low,Seed.Trial,Day158,1 juvenile,RNALater,miRNA,single.band,1138.75,2.01,2.05,
21-Aug-16,EPI_301,Bin11,Ambient-Low,Seed.Trial,Day158,1 juvenile,RNALater,miRNA,,,,,
21-Aug-16,EPI_237,Bin1,Low-Ambient,Seed.Trial,Day158,1 juvenile,RNALater,miRNA,single.band,434.65,1.92,2.16,
21-Aug-16,EPI_238,Bin1,Low-Ambient,Seed.Trial,Day158,1 juvenile,RNALater,miRNA,,,,,
21-Aug-16,EPI_239,Bin1,Low-Ambient,Seed.Trial,Day158,1 juvenile,RNALater,miRNA,,,,,
21-Aug-16,EPI_240,Bin1,Low-Ambient,Seed.Trial,Day158,1 juvenile,RNALater,miRNA,,,,,
21-Aug-16,EPI_241,Bin1,Low-Ambient,Seed.Trial,Day158,1 juvenile,RNALater,miRNA,,,,,
21-Aug-16,EPI_259,Bin5,Low-Ambient,Seed.Trial,Day158,1 juvenile,RNALater,miRNA,,,,,
21-Aug-16,EPI_260,Bin5,Low-Ambient,Seed.Trial,Day158,1 juvenile,RNALater,miRNA,,,,,
21-Aug-16,EPI_261,Bin5,Low-Ambient,Seed.Trial,Day158,1 juvenile,RNALater,miRNA,,,,,
21-Aug-16,EPI_262,Bin5,Low-Ambient,Seed.Trial,Day158,1 juvenile,RNALater,miRNA,,,,,
21-Aug-16,EPI_263,Bin5,Low-Ambient,Seed.Trial,Day158,1 juvenile,RNALater,miRNA,,,,,
21-Aug-16,EPI_277,Bin8,Low-Low,Seed.Trial,Day158,1 juvenile,RNALater,miRNA,single.band,503.58,2.06,2.05,
21-Aug-16,EPI_278,Bin8,Low-Low,Seed.Trial,Day158,1 juvenile,RNALater,miRNA,,,,,
21-Aug-16,EPI_279,Bin8,Low-Low,Seed.Trial,Day158,1 juvenile,RNALater,miRNA,single.band,634.41,2.02,2.2,
21-Aug-16,EPI_280,Bin8,Low-Low,Seed.Trial,Day158,1 juvenile,RNALater,miRNA,,,,,
21-Aug-16,EPI_281,Bin8,Low-Low,Seed.Trial,Day158,1 juvenile,RNALater,miRNA,,,,,
21-Aug-16,EPI_304,Bin12,Low-Low,Seed.Trial,Day158,1 juvenile,RNALater,miRNA,,,,,
21-Aug-16,EPI_305,Bin12,Low-Low,Seed.Trial,Day158,1 juvenile,RNALater,miRNA,single.band,396.31,1.92,2.1,
21-Aug-16,EPI_306,Bin12,Low-Low,Seed.Trial,Day158,1 juvenile,RNALater,miRNA,,,,,
21-Aug-16,EPI_307,Bin12,Low-Low,Seed.Trial,Day158,1 juvenile,RNALater,miRNA,,,,,
21-Aug-16,EPI_308,Bin12,Low-Low,Seed.Trial,Day158,1 juvenile,RNALater,miRNA,single.band,1138.68,2.02,2.27,
21-Aug-16,EPI_252,Bin4,Super.Low-Ambient,Seed.Trial,Day158,1 juvenile,RNALater,miRNA,,,,,
21-Aug-16,EPI_253,Bin4,Super.Low-Ambient,Seed.Trial,Day158,1 juvenile,RNALater,miRNA,,,,,
21-Aug-16,EPI_254,Bin4,Super.Low-Ambient,Seed.Trial,Day158,1 juvenile,RNALater,miRNA,,,,,
