Date,Tank,Bottle.Num,Duplicate
17-Mar-16,Tank11,129,
17-Mar-16,Tank11,130,Duplicate
17-Mar-16,Tank12,131,
17-Mar-16,Tank12,132,Duplicate
17-Mar-16,Tank13,133,
17-Mar-16,Tank13,134,Duplicate
17-Mar-16,Tank14,135,
17-Mar-16,Tank14,136,Duplicate
17-Mar-16,Tank15,137,
17-Mar-16,Tank15,138,Duplicate
17-Mar-16,Tank16,139,
17-Mar-16,Tank16,140,Duplicate
19-Mar-16,Header1,141,
19-Mar-16,Header2,143,
19-Mar-16,Tank11,157,
19-Mar-16,Tank11,158,Duplicate
19-Mar-16,Tank12,159,
19-Mar-16,Tank12,160,Duplicate
19-Mar-16,Tank13,161,
19-Mar-16,Tank13,162,Duplicate
19-Mar-16,Tank14,163,
19-Mar-16,Tank14,164,Duplicate
19-Mar-16,Tank15,165,
19-Mar-16,Tank15,166,Duplicate
19-Mar-16,Tank16,167,
19-Mar-16,Tank16,168,Duplicate
21-Mar-16,Header1,185,
21-Mar-16,Header2,187,
21-Mar-16,Tank11,201,Duplicate
21-Mar-16,Tank11,202,
21-Mar-16,Tank12,203,Duplicate
21-Mar-16,Tank12,204,
21-Mar-16,Tank13,205,Duplicate
21-Mar-16,Tank13,206,
21-Mar-16,Tank14,207,Duplicate
21-Mar-16,Tank14,208,
21-Mar-16,Tank15,209,Duplicate
21-Mar-16,Tank15,210,
21-Mar-16,Tank16,211,Duplicate
21-Mar-16,Tank16,212,
26-Mar-16,Tank11,213,
26-Mar-16,Tank11,214,Duplicate
26-Mar-16,Tank12,215,
26-Mar-16,Tank12,216,Duplicate
26-Mar-16,Tank13,217,
26-Mar-16,Tank13,218,Duplicate
26-Mar-16,Tank14,219,
26-Mar-16,Tank14,220,Duplicate
26-Mar-16,Tank15,221,
26-Mar-16,Tank15,222,Duplicate
26-Mar-16,Tank16,223,
26-Mar-16,Tank16,224,Duplicate
1-Apr-16,Tank11,7,
1-Apr-16,Tank11,8,Duplicate
1-Apr-16,Tank12,9,
1-Apr-16,Tank12,10,Duplicate
1-Apr-16,Tank13,11,
1-Apr-16,Tank13,12,Duplicate
1-Apr-16,Tank14,13,
1-Apr-16,Tank14,14,Duplicate
1-Apr-16,Tank15,15,
1-Apr-16,Tank15,16,Duplicate
1-Apr-16,Tank16,17,
1-Apr-16,Tank16,18,Duplicate
2-Aug-16,Bin1,NA,NA
2-Aug-16,Bin2,NA,NA
2-Aug-16,Bin3,NA,NA
2-Aug-16,Bin4,NA,NA
2-Aug-16,Bin5,NA,NA
2-Aug-16,Bin6,NA,NA
2-Aug-16,Bin7,NA,NA
2-Aug-16,Bin8,NA,NA
2-Aug-16,Bin9,NA,NA
2-Aug-16,Bin10,NA,NA
2-Aug-16,Bin11,NA,NA
2-Aug-16,Bin12,NA,NA
2-Aug-16,Header1,NA,NA
2-Aug-16,Header2,NA,NA
8-Aug-16,Bin1,NA,NA
8-Aug-16,Bin2,NA,NA
8-Aug-16,Bin3,NA,NA
8-Aug-16,Bin4,NA,NA
8-Aug-16,Bin5,NA,NA
8-Aug-16,Bin6,NA,NA
8-Aug-16,Bin7,NA,NA
8-Aug-16,Bin8,NA,NA
8-Aug-16,Bin9,NA,NA
8-Aug-16,Bin10,NA,NA
8-Aug-16,Bin11,NA,NA
8-Aug-16,Bin12,NA,NA
8-Aug-16,Header1,NA,NA
8-Aug-16,Header2,NA,NA
15-Aug-16,Bin1,NA,NA
15-Aug-16,Bin2,NA,NA
15-Aug-16,Bin3,NA,NA
15-Aug-16,Bin4,NA,NA
15-Aug-16,Bin5,NA,NA
15-Aug-16,Bin6,NA,NA
15-Aug-16,Bin7,NA,NA
15-Aug-16,Bin8,NA,NA
15-Aug-16,Bin9,NA,NA
15-Aug-16,Bin10,NA,NA
15-Aug-16,Bin11,NA,NA
15-Aug-16,Bin12,NA,NA
15-Aug-16,Header1,NA,NA
15-Aug-16,Header2,NA,NA
